;12:0;13:0iso;13:0;14:0iso;14:0;14:1w5;15:0iso;15:0anteiso;15:0;15:1w5;16:0iso;16:0;16:1w9;16:1w7;16:1w5;17:0iso;16:2w4;17:0;17:1w7;18:0iso;18:0;18:1w9;18:1w7;18:2w6;18:3w6;18:3w3;18:4w3;20:0;20:1w9;20:2w6;20:4w6;20:4w3;20:5w3;22:0;22:1w9;22:5w6;24:0;22:6w3;24:1w9;25:0;26:0
141;0.25;0.00;0.00;0.00;19.69;0.00;1.14;0.25;1.08;0.00;0.00;34.37;0.58;17.90;0.63;0.38;1.28;0.24;0.00;0.00;2.47;4.43;3.12;2.00;0.23;1.23;2.35;0.22;0.00;0.00;0.46;0.00;2.49;0.00;0.00;0.22;0.00;1.76;0.00;0.00;0.00
142;0.26;0.00;0.00;0.00;20.60;0.00;0.89;0.21;1.07;0.00;0.00;37.70;0.57;17.74;0.61;0.43;0.91;0.24;0.00;0.00;3.11;5.11;2.50;1.62;0.00;0.97;1.24;0.27;0.00;0.00;0.00;0.00;1.48;0.00;0.00;0.00;0.00;1.06;0.00;0.00;0.00
143;0.72;0.22;0.00;0.30;18.47;0.00;1.73;0.95;1.57;0.27;0.23;29.65;1.66;13.71;0.46;0.68;2.75;0.56;0.00;0.25;4.57;6.73;5.83;1.56;0.00;0.98;1.28;0.00;0.00;0.00;0.00;0.00;1.89;0.00;0.00;0.00;0.00;1.32;0.00;0.00;0.00
144;0.35;0.00;0.00;0.33;17.63;0.00;1.27;0.66;1.43;0.00;0.00;30.99;0.95;19.11;0.45;0.88;1.50;0.42;0.00;0.23;3.60;5.57;4.98;1.46;0.00;1.20;1.43;0.24;0.00;0.00;0.30;0.00;2.31;0.00;0.00;0.00;0.00;1.09;0.00;0.00;0.00
145;0.35;0.00;0.00;0.22;19.03;0.00;1.17;0.68;1.42;0.00;0.00;31.87;1.11;14.78;0.40;0.69;2.12;0.40;0.00;0.24;3.59;7.35;3.44;2.20;0.00;1.46;1.47;0.25;0.00;0.00;0.27;0.00;1.93;0.23;0.00;0.00;0.21;1.71;0.00;0.00;0.00
146;0.37;0.00;0.00;0.00;24.37;0.00;0.80;0.45;1.40;0.38;0.00;29.05;1.15;13.26;0.30;0.68;0.87;0.45;0.00;0.00;3.87;6.28;3.24;2.17;0.29;1.66;1.76;0.00;0.00;0.00;0.46;0.20;2.92;0.20;0.00;0.00;0.00;1.60;0.30;0.00;0.00
147;0.36;0.00;0.00;0.00;26.97;0.00;1.01;0.47;1.26;0.35;0.00;26.70;0.61;12.88;0.29;0.80;0.84;0.58;0.00;0.00;4.71;5.11;3.71;1.75;0.31;1.16;1.41;0.26;0.00;0.00;0.55;0.21;3.32;0.27;0.00;0.00;0.00;2.16;0.49;0.00;0.00
201;0.63;0.00;0.00;0.29;6.08;0.00;1.88;0.49;0.95;0.00;0.30;33.09;0.73;7.11;0.00;0.90;0.43;0.59;0.00;0.00;10.50;22.83;4.72;3.94;0.00;0.33;0.43;0.39;0.00;0.00;0.23;0.00;1.22;0.25;0.00;0.00;0.24;0.39;0.00;0.00;0.00
202;0.46;0.00;0.00;0.23;13.03;0.00;1.54;0.37;1.07;0.00;0.27;30.98;0.23;20.90;0.38;1.21;2.23;0.51;0.00;0.00;4.65;5.99;3.23;1.54;0.29;0.72;1.26;0.24;0.00;0.00;0.71;0.00;4.73;0.27;0.00;0.37;0.00;1.52;0.00;0.00;0.00
203;0.41;0.00;0.00;0.28;15.98;0.00;1.56;0.46;1.41;0.00;0.24;35.24;0.52;16.02;0.41;1.02;1.41;0.65;0.00;0.00;4.63;3.75;4.90;1.19;0.00;0.67;1.11;0.27;0.00;0.00;0.51;0.00;3.63;0.29;0.00;0.33;0.00;1.87;0.00;0.00;0.00
205;0.92;0.21;0.00;0.43;15.79;0.00;2.33;0.83;1.83;0.00;0.24;29.78;0.39;17.86;0.58;0.57;2.40;0.42;0.00;0.00;2.42;4.10;6.83;1.18;0.00;1.80;2.69;0.00;0.00;0.00;0.54;0.00;3.25;0.00;0.00;0.22;0.00;1.15;0.00;0.00;0.00
206;0.35;0.00;0.00;0.00;16.75;0.00;0.86;0.33;1.08;0.00;0.00;35.28;0.00;26.05;0.49;0.50;2.17;0.22;0.00;0.00;2.05;2.93;2.13;1.02;0.21;0.91;1.36;0.00;0.00;0.00;0.41;0.00;2.67;0.00;0.00;0.00;0.00;0.83;0.00;0.00;0.00
207;0.39;0.00;0.00;0.00;14.78;0.00;0.82;0.29;0.99;0.00;0.00;39.17;0.00;22.48;0.46;0.33;1.00;0.25;0.00;0.00;2.82;3.69;2.16;1.21;0.24;1.17;1.78;0.00;0.00;0.00;0.44;0.00;2.78;0.00;0.00;0.22;0.00;1.11;0.00;0.00;0.00
208;0.50;0.00;0.00;0.00;18.64;0.00;0.85;0.38;0.90;0.00;0.00;31.39;1.15;21.18;0.38;0.65;1.56;0.42;0.00;0.00;3.76;4.22;3.69;1.29;0.30;0.88;1.36;0.21;0.00;0.00;0.50;0.00;2.79;0.22;0.00;0.00;0.00;1.19;0.00;0.00;0.00
